,newid,event_code_new
0,470.7369953,SS.fswsSpswSpswS.pswSpswSpswSpsw.pS.cfsws.Sp.pS.spsSsS.S.swSpsws.pS.cS.S.pswsS.pswsp.wsSp.swsp.p.
1,497.8571087,lbsSsSsSsSsSsSsS.psSsSsS.sSsSpSpS.SlspSpspSpspS.p.sb.bSlSlSlSlsS.p.blSs
2,538.7701094,.SlS.S.S.S.sb
4,1372.080296,S.Slfn.nbnfc.c.cn.bcb.bSfSfSfSfSewSfncnb.
5,1635.667868,lb.s.s.n.b.bt.f.fc.ncbibib.bn.nt.fb.b.b.lc.i.sp.psp.sp.psp.psp.pc.c.i.b.cb.i.t.t.t.t.t.t.t.i.nbvb.t.tfb.b.
7,1919.865608,eses.b.be
8,2088.937908,f.f.f.f.f.s.f.f.sf.blblcefn.
11,2283.370122,spfswsbsp.b.wewspswsp.p.wsp.
12,2347.123809,.p.peSesesps
13,2358.532511,spsps
14,2390.709706,.nes.f.pepscnb.cn
15,2561.560832,p.pbSlSs.psp.pf.
16,2730.013803,.bfsfb.b.ib.bvb.b.bib.nbfb.
17,3159.62825,esp.eSlepSp
19,3237.100318,f.f.p.spsf.f.f.s.f.b.bib.p.bvb.b.bib.b.b.f.p.n.b.b.b.b.b.p.p.swspwsp.wsp.pws.f.
21,3645.50855,.bswspws.p.
22,3694.645129,spS.p.p.p
24,3894.683905,nbf.s.fsf.fsfsf.i.n.bf.p.f.f.n.cf.s.s.s.f.nbf.sp.psp.psp.psbspspspsbsSsSsSsSsS.SsSsSsSsSs.
25,4181.428812,bfbibfbn.
26,4422.566853,pS.pS.bS.p.p.p.pSsSsSsSpSsSsSsS.SlSlbp
28,5203.466862,fspfpfpfspspspspspsp.spfp.psfesfs.fpc.b.ps.esb.b.
29,5300.61312,fb.b.sSsSp.fs.fs.fb.b.bfs.
30,5612.242967,pbfpf.fbfn.i.b.bn.
32,6247.90322,slblf.sp.p.spsp
33,6372.029893,S.b.S.l
34,6833.593361,.eswsb
35,6920.788437,wspswspswsp.pswpswswsp.pswsp.psp.psws.pscfslspspspspsp
36,6939.02839,fSfbSpSpSpSpSp.f.sp.f.sc.c.n.b.b.b.b.fpfpf.nb.bf.s.s.b.bn.sSsS.p.p.fcfcfcfcfcfcf.fc.f.c.sp.sp
37,6941.454485,lblspspeplp.lsl.bn.f.b.spb.b.
38,7425.076328,wspswsps
39,7593.664341,plspspsp.c
40,7614.670321,cpc.fsls.es.p.bspspsb.p
41,7897.624746,SlsSesSlSsSlSlbspsespe.epepspswpw.bSlS.SlSfSfSsespSfsfSspfSsSfspsSfsSfSfSpSfpSfSsfSspspSfSfspspspspspspspsSfpSfSps.b.b.spspsp
42,8229.548112,bsSsSsSpswspepep.p.p.p.psSsSpsp.psSpSbpsbl.sp.l.f.spspfs.sSeSpsSp.pSsSsSsSsSpsSbsSsSp.pSspSsSspsSpnc.b.nb.b.bfb.b.b.bfb.f.f.f.cf.fb.b.ncfb.b.s.sSsp
44,8631.022647,pSl.p.pb.pSlp.bSl
46,8697.952144,.spSlSlps
47,8800.537325,.bsps.s.
48,8815.852925,blblb.blb
51,9175.860323,.p.ws.p.b
52,9199.539199,bspSlb.SfSeSlbSlbpSlspspspbS.Slb.pwspsws.b.
53,9280.992672,bSlswswsp.pblSl.fn.b.bSlb.
54,9356.988594,.cS.b.S.SlS.pbSlpS.lSbS.S.bS.clS.SlS.S.b.lSb.b.
55,9387.801401,p.b.lS.bSlbn.b.SeS.sSsSsSsSsSp.psSsSsSsSsSs.f.b.f.f.fn.b.fb.b.b.n.bfnc.S.Sl.bibf.bf.fb.b.b.b.fps.s.b.n.i.nbfb.cbfn.bfbn.fbf.f.p.p.p.b.
56,9397.706017,pspbplfSsSsSsSsSsSsSpS.pbSfSsSpSpsSp.pSsSpS.sSpS.sS
57,9401.999414,.tn.tbt.bn.f.fnb.f.f.ftS.clS.cS.t.f.pl.c.bS.bt.bcb.f.f.f.c.f.tf.tn.b.b.b.fbtbtcb.tS.lbp.p.b.Sl.lb.f.lplb.i.i.bfsf.p.Sc.cbfsf.b.b.b.f.lbf.b.b.b.b.b.bc.f.sft.btnbSf.pl.f.pf.n.nbf.s.p.s.ftn.f.s.fs.sf.sf.sfbtbfb.bv.b.b.b.b.b.b.b.tbvb.bvb.ib.b.b.b.b.b.b.bvb.b.bnf.tf.fb.tn.i.b.c.c.b.b.b.b.bvb.b.c.
58,9499.508888,.S.c.b.c.b.b.
59,9631.547146,f.bSlswpswpl.f.f.c.f.
60,9991.5592,.SlSblSbfSl.fsb.b.b
61,10519.54925,.lslSwsSwsesSwsp.psw.p
62,10996.9778,c.nbn.cbf.p.f.p.s.s.fp.pfp.f.pnbn.Ss.clSlSbcb.b.bn.n.bcb.
64,11396.33823,.nb.b.b.bf.f.fb
65,11580.09283,lb.p.b.
66,11866.76789,spepsp.psp.p
67,12054.16396,pS.clS.lsSsSlb.sw.swsw.sp.swspSpw.spSpSp.swpSp.pSsSsSsSsSpSsSpsSsSlpb.S.SsSsSsSpSsS.cS.c.Scp.Sc.ScS.s.Scp.c.ScpcS.cS.cS.cS.cp.cS.c.pcS.c.pc.Scp.S.cS.S.cS.sSsSsSsSsSsS.cp.ScSsS.Sc.pS.s.Sc.pS.sSsSsSsS.csSsSsS.Swspsws.SswsS.pswspswpswspS.cp.spSp.pSlSsSsSsSsSsSspsSsSsSsSsSsSsSp.pSsSsSsSsSsSsSpSsp.psSpsS.SlwslSsSlsSpSslsSsSpsSsSlSsSsSsSsSsSswSspSsbSsSsSspSspSeseSsSeSseSsSsSsSweSsSsSsSlSsSsSsSsSspSsSsSsSpSs.wpws.pSp.ws.pSp.ws.sSsSsSpSsSsSsSsSspsSsSsSsSsSsSlS.wsSsSsSspSsps.Sbf.p.pSsSsSsSsSsSp.pS.cS.S.S.cpcSsSsSplS.spwsSsw.sSwsSslS.pS.SpS.pSp.Sp.p.p.p.b.p.
68,12132.0691,Slp.p
69,12241.96982,sp.psp.psp.p.p.psp.spe.swsw.b.b.b.p.p.bp.pe.p.p.
70,12257.86749,lSlSl.
71,12335.64224,sSswspS.pSsSsSsSpfSwsSfewseseswesS.f
72,12407.62882,p.p.swpswpswspswspsw
73,12533.13385,Sfpsc
74,12557.44603,.nbf.fsf
75,12719.34249,.bS.pS.
76,12931.4512,leswspsplblelblb
80,13271.79372,pfsSwspSwspSwfswSfswSpSwsSwp
81,13304.47383,l.l.l.b.sw.c.
82,13446.91496,.c.S.fSlspspsp.pS.sSsSsSsSpSsSsSsS.pSsSsS.pS.bps
83,13719.08467,lb.b.b.b.
84,13958.94215,sfsp.p
86,14351.24315,fp.p.p.p.s.s.wsps.pspspspspepspsws.pspsp.p.
87,14484.96245,fspfewewesb
88,14569.82922,b.b.b.sws.b.s.f.f.b.b.fs.
90,15074.09383,lpbcS.cS.cS.cS.cS.cS.lSbp.p.p.Slb.bSlSlblS.S.lSbS.lSlpS.S.S.sb.S.cb.b.b.SlSpfSes.p.p.peSs.pb.fn.bn.n.b.b.b.b.b.b.b.sp.sp.p.sesps.pspsp
91,15146.43431,psp.slspsp.psp.psp.pspsp.psp.p.ps.p.p.sp
92,15220.27887,.wsws.plbl.pelel.f.f.f.f.n.n.nbfb.b.bf.f.b.bn.sp.s.f.pf.c.f.f.p.pf.f.f.s.spsf.f.spsb
93,15254.96133,Scp.bfbf.p.p.b.pbfp.
95,15810.04821,l.bswp
96,15842.05776,SsS.psSpsSpSpsSpS.psSpS.psSpS.psSpS.pb
97,16058.25499,bnbn.nf.s.fwefsps.psbn.n.n.f.n
98,16349.59597,lSsSs
99,17557.58189,c.bSl.pb.
100,17710.10924,.cS.p.p
103,18377.55088,b.pb.t.f.b.btb.b.bn.bt.t.tftbp
104,18691.79774,psp.p.pSl.f.f.sps.f.sps.fsp.psp.psp.pspfSp.p.Sp.Ssfp.p.pfspfpf.psp.p.p.p.sp.psp.pspspsp.pspsSp.pS.pSp.spf.c.b.
