,newid,event_code_new
0,470.7369953,.wssssps.wsSpppwppcfssssss.sws.psSsssssssspS.p.
1,497.8571087,ssS.sSppbb.ssspsSssbllSS.
4,1372.080296,bnnnbbSn.c.bSSSfe
5,1635.667868,b.bcncbbib.nt.b.l.i.nn.bf.p.s.spcc.bb.tt.ttvb.t
7,2088.937908,.fff.fsbbbl
10,2283.370122,.sp.pppfsbbbspppppp.ssppppp.
13,2390.709706,n.cnnn.psssn.n
15,2730.013803,bbbbbbbfbbbib.
17,3237.100318,f.spp.sp.ss.s.b.ib.nb.p.
22,3894.683905,.cbbsf.f.i.nnnbb.pf.n.s.bpsssspbbbbbpssssbSsSssSsSSsssSssSS.
24,4422.566853,.pssSpsSpp.Slp
26,5203.466862,.fppspsssppp.sffp.bpsspssssspb.
27,5300.61312,ssssps.f.f.bs.bb.
28,5612.242967,fpbbfffi.b.
33,6920.788437,ssspspspsspswppswss.pppppssssps
34,6939.02839,.s.p.fffcccfcccccccccccf.csp.sfSbSpppnn.bfppfp.bn.f.sccc
35,6941.454485,lsssssssspppelplbls.bbbbb.b.
38,7614.670321,.pc.fses.p.bssp
39,7897.624746,bbssssplSSSllbbssspepepswp.bbSSsSffssspSfsffppppfffpSpsspspsspppS
40,8229.548112,sSSbbppppsb.spswsppepp.p.psSsSpssspppc.fbsp.l.f.sSSSppp.SsSbssppsssb.bf.bfcffp
49,9199.539199,.bpllplspbb.ppppppss
50,9280.992672,.bbsswssspppbSlbbSl
51,9356.988594,c.bb.bblbb.Sl.bb.
52,9387.801401,.f.f.lbbbbbbesSSpsSSsf.b.f.fb.b.bbf.f.bb.bfps.nf.bn.b.
53,9397.706017,.pppbbSSsSsSssS.pbbbbsSpsSp.SppsSS
54,9401.999414,bbf.Stt.tt.tb.bbb.bbbbb.tcbbbttt.bbb.blbf.tttttnnb.bttbScccccccsbf.bbbbbf.b.bbbbbb.b.ibbff.scffnfss.sf.fbbbbtnSfpb.bbb.b.tvi.b.nf.tb.t.i.cb.b.b.bb.b.
57,9991.5592,.lbbbbblsssssssssbbbbbb
58,10519.54925,.lwwsswsppsp
59,10996.9778,.nf.spp.f.pb.ccccccc.ccccsbcnbb
64,12054.16396,Spp.lsSSSSSsppSSSSsbsSs.SpScsc.SSSS.p.pcS.cS.SScSSSSsS.p.sSpS.S.ssScsSSsSpwsSsS.spwsSSlssSsSsssssSsSsSsSsSpSsSsppppppsS.SlspssSSSspbssSpseseSSSSSeSsSSpSsp.s.Sp.ws.spsSpSsSssl.sww.spspp.wsSsSSpSspssbb.p.ssSsSSS.cSsppwssssswssSpplllS.ppp.bb.
66,12241.96982,.b.ppw.spspp.pp
68,12335.64224,sp.pSsSSssSfesesS.f
69,12407.62882,p.swssspssw
73,12931.4512,sspsplbbblb
76,13271.79372,.fSpspfffppppp
77,13304.47383,.cbl.l.bbb.s
78,13446.91496,bb.sppsSspsSpbbs
79,13719.08467,bbbbbbbbbbbbbbbbbbb
81,14351.24315,.s.ss.psppppppsss.sppppp.p.pppp
82,14484.96245,.fsssppfffwesb
83,14569.82922,.b.b.b.ffb.
84,15074.09383,Spppbbbbbccc.ccS.bb.sp.p.sspssS.pSbSl.b.lSp.SbbbSccbb.bbbbbSS.pepn.nb.b.bb.
85,15146.43431,.p.spsspss.p.
86,15220.27887,c.wswspbbbbb.f.f.f.f.n.b.f.sps.pf.f.sf.fbb
90,15842.05776,sSsSp.pS.sS
91,16058.25499,nnbnsfssb.nnnnnnnnnnnnnn
97,18377.55088,b.bbbbbbbttf.btttb.bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb.t.ttttttttttttttttbbbbbp
98,18691.79774,.ccc.spp.f.fsssssspppppppp.Ssf.pfssf.p.ppppsppsssppspps.s
99,18751.54208,.bbssbbbbbppppbb.bb
102,19875.82073,ssp.sS.ppsSp.s
104,20555.26245,c.p.ppepebbbc.
105,20825.31806,SssssspSssswsffSSffs
107,21018.58146,spSbbpppssspb
108,21067.28964,SbSlb.b.ssspb.b.
109,21392.86604,swppp.sf.sffcb.f.bbf.p.cfbb.f.f
119,24089.24047,.sSSpp.pspe
121,24333.05141,.b.pppppp.bbbbbbbb.bbb.
122,24371.41258,.pbbbb.ffn.b.
124,24825.93525,b.ccccbbwSpllbl.blbbbbbblb.fbble
126,25138.86429,ss.sssSppppSSpp.pbbblSbsswpS.SwspSpeSsp.sssssSSpspssppSs
128,25416.96653,.sSb.seppppsssppppppppfSpbsspp.
129,26130.5226,sspS.p.ffSSlfSb.
130,26159.32841,pswp.psSSSpppps
132,26366.95281,S.cSS.S.Sp.
136,26710.76916,.fbb.np.b.f
137,26841.86678,s.fpbbbf.f.s.sf.ss.ss.s.p.bbbc.b
144,28821.72354,wpsspwspsp.ss.sS.s
146,29030.65644,.bbllbb.bbb
153,29956.15825,bbbb.ppsspp.ppsspsp.sSSpppppfspspppssSppSssSssSSsepp.sSSSpp.ps.
157,30543.46889,.bss.p.bbbbpbfbbbp.pp
158,30868.98476,SspSSsSpSsSlbbbbbbspp.SSsS.SSpssSbspp
161,31488.24908,nsnbbbb.fnwssssbbb.nn.c
162,31636.05928,tttttbtc.ttttttttttttttttttt.sttbbbbbb.s.ttttttbtttt.bftttbttttbttt.btttttttttttttt.bnt.bftttt
166,31919.40021,ps.fSp.bbs.p.effsSsS
170,32364.37682,.bwesssspsssssssswpppwSffsSpssfpssssspsppssppfsspppppspspp
172,32760.69183,s.SS.cSbeSspp
174,33141.36993,.s.l.bibbf.s.fbbbfSSSSn.nnbs
176,33180.37838,.sp.ss.pf.sf.sffspsppfp.f.f.sp.s
180,33638.46336,.ssspppps.bfbwsssspb
184,34205.27093,wppbbbbbttttttttntnt
185,34499.35,s.S.bb.b.bb.pbb.cc.pp.p.b
187,34748.73956,spsSssppS.sbbbb
188,34789.87142,sbfbffccfppppppppppc.cc.p.pc.c
190,35110.03219,cccccccS.cnccbbSSs
191,35201.67898,.p.sff.sssf.bbbcbb.fbb.bf.f.wpSsssSSspsSsffppspsscbcccccccccps
195,36205.42586,p.swspppp.f.
196,36561.39597,.bp.pp.pppsfsbbbbb.ib.bbbbn.n.
197,36571.68709,.fsSssSp.pSpppSbpb.bbfb
201,37325.7231,bbsSSSs.sppsssssss
202,37533.76193,.ff.s.fs.bsssSssss.f.fssppppsSpppSpssssssbffsspsssss.fsSpppf.ssfSsppsssSpbb.
204,38165.9111,bbbbbbbbsebsppplbbbblbbsbbbspspeppppsbfffb
206,38198.90786,bbbSllsbcf.fb.s.p.
211,38746.69317,.ppbbbb.i.b.bbbb.bbb.
212,38838.31669,SeSSSSsSSSssbpbbcSSsppsspssp.sppppspssp.Sbblbbfcp
214,39032.02247,.sssss.p.b.
215,39062.35099,nnf.s.fpccc
217,40285.10768,SSSpSSS.p.S.wbbbb.bsbbfppSspp.pS
218,40654.86137,bbbbf.fbb.c.
219,40754.95061,bbbbbbbS.psSS
220,40761.79117,.ll.c.ccccn.ccbbfffwpsffbb.p.sp
221,41117.04882,.pS.ss.eps.s.fspss.s.ps.s.s
222,41397.99625,ppwsp.sssspwppppppppssppspswsswws.sppwspsw
223,41438.89528,bbbbbbbbbcccccbbcbppfnnn.
225,41602.17475,b.psppssbppppp
227,41922.71736,ssssSsSSSp.sfppppssps.p
230,42138.03448,SfbSSsSSSsSssSpSSpSsSSssSsSsp.sS.pbsspsSsSsSsSsSsSsSssSSsSpSSS.spSSfSSSSSsSSSpssS
232,42425.02153,l.lspss.b.swbsws.cbplbbbb.ssssSsebbblbllblll
233,42648.5762,b.f.nspb.sS.bbb
234,42679.52405,wss.wp.psws.bSp.pspSsppsSsSSpssp.sppppps.SfswpS.
235,43019.30778,n.blsssspsspppp.fsepppbbbbbbn.bb.
241,44848.416,bbbebSSlsSssS
242,44910.49331,.p.lfsSsp.sp.psp.p.c
243,44968.15149,ppspppppp.sp
244,45159.15643,eSpsSspbbbSe
245,45676.23138,SSSSsspppbbSsssSsSsSSspeSp.p.bbbb.f.b.b.b.b.b.s.S.lbb
247,46328.59491,pppppppplcwpe
248,46719.70848,S.S.lSfbbfffspp
249,46907.22097,bssSppSp.sb.b.bbb.
251,47871.52633,.tttbb.b.t.fcfcccbb.b.bbbbbbbbbbbbbbbbbbbbbbbbb.bbbbbbbbbbbb.bbbbbbbbbbb.t.t.t.nf.t.bb.b.t.t.tssss.
252,47880.33664,sffsp.sSssffsnnnnnnn.bs
255,48716.23591,sSssSSSpsSpSpspSpSSsSpppsSsSsS
257,49262.21911,p.p.bb.bb.psppsss.wssp
259,50007.21198,bibSSpsSsSp.pSSSSsSssSSsSSSppppsSsSSSSpcc
